523	♸
524	♹
525	♺
526	♻
527	⚒
528	⚓
529	⚔
530	⚖
531	⚗
532	⚙
533	⚜
534	⚠
535	⚡
536	⚢
537	⚣
538	⚤
539	⚥
540	⚦
541	⚧
542	⚨
543	⚩
544	⚪
545	⚫
546	⚰
547	⚲
548	⚽
549	⚾
550	⛄
551	⛅
552	⛈
553	⛏
554	⛑
555	⛓
556	⛩
557	⛪
558	⛰
559	⛱
560	⛲
561	⛳
562	⛴
563	⛵
564	⛷
565	⛸
566	⛺
567	⛽
568	✂
569	✅
570	✈
571	✉
572	✊
573	✋
574	✌
575	✍
576	✏
577	✒
578	✔
579	✖
580	✝
581	✡
582	✧
583	✨
584	✪
585	✳
586	✴
587	❀
588	❄
589	❇
590	❌
591	❎
592	❓
593	❔
594	❕
595	❗
596	❛
597	❣
598	❤
599	➔
600	➕
601	➖
602	➗
603	➘
604	➙
605	➚
606	➛
607	➜
608	➝
609	➞
610	➟
611	➠
612	➡
613	➥
614	➦
615	➧
616	➨
617	➩
618	➪
619	➫
620	➬
621	➭
622	➮
623	➯
624	➰
625	⤴
626	⤵
627	⬅
628	⬆
629	⬇
630	⬛
631	⬜
632	⬟
633	⬠
634	⬡
635	⬢
636	⬣
637	⬬
638	⬭
639	⬮
640	⬯
641	⭐
642	⭓
643	⭔
644	⭕
645	⸜
646	⸝
647	　
648	、
649	。
650	〃
651	〄
652	々
653	〆
654	〇
655	〈
656	〉
657	《
658	》
659	「
660	」
661	『
662	』
663	【
664	】
665	〒
666	〓
667	〔
668	〕
669	〝
670	〟
671	〰
672	〻
673	〼
674	ぁ
675	あ
676	ぃ
677	い
678	ぅ
679	う
680	ぇ
681	え
682	ぉ
683	お
684	か
685	が
686	き
687	ぎ
688	く
689	ぐ
690	け
691	げ
692	こ
693	ご
694	さ
695	ざ
696	し
697	じ
698	す
699	ず
700	せ
701	ぜ
702	そ
703	ぞ
704	た
705	だ
706	ち
707	ぢ
708	っ
709	つ
710	づ
711	て
712	で
713	と
714	ど
715	な
716	に
717	ぬ
718	ね
719	の
720	は
721	ば
722	ぱ
723	ひ
724	び
725	ぴ
726	ふ
727	ぶ
728	ぷ
729	へ
730	べ
731	ぺ
732	ほ
733	ぼ
734	ぽ
735	ま
736	み
737	む
738	め
739	も
740	ゃ
741	や
742	ゅ
743	ゆ
744	ょ
745	よ
746	ら
747	り
748	る
749	れ
750	ろ
751	ゎ
752	わ
753	ゐ
754	ゑ
755	を
756	ん
757	ゔ
758	゙
759	゚
760	゛
761	゜
762	ゝ
763	ゞ
764	ゟ
765	ァ
766	ア
767	ィ
768	イ
769	ゥ
770	ウ
771	ェ
772	エ
773	ォ
774	オ
775	カ
776	ガ
777	キ
778	ギ
779	ク
780	グ
781	ケ
782	ゲ
783	コ
784	ゴ
785	サ
786	ザ
787	シ
788	ジ
789	ス
790	ズ
791	セ
792	ゼ
793	ソ
794	ゾ
795	タ
796	ダ
797	チ
798	ヂ
799	ッ
800	ツ
801	ヅ
802	テ
803	デ
804	ト
805	ド
806	ナ
807	ニ
808	ヌ
809	ネ
810	ノ
811	ハ
812	バ
813	パ
814	ヒ
815	ビ
816	ピ
817	フ
818	ブ
819	プ
820	ヘ
821	ベ
822	ペ
823	ホ
824	ボ
825	ポ
826	マ
827	ミ
828	ム
829	メ
830	モ
831	ャ
832	ヤ
833	ュ
834	ユ
835	ョ
836	ヨ
837	ラ
838	リ
839	ル
840	レ
841	ロ
842	ヮ
843	ワ
844	ヰ
845	ヱ
846	ヲ
847	ン
848	ヴ
849	ヵ
850	ヶ
851	ヷ
852	ヸ
853	ヹ
854	ヺ
855	・
856	ー
857	ヽ
858	ヾ
859	ヿ
860	ㅁ
861	ㅂ
862	ㅎ
863	ㇰ
864	ㇱ
865	ㇲ
866	ㇳ
867	ㇴ
868	ㇵ
869	ㇶ
870	ㇷ
871	ㇸ
872	ㇹ
873	ㇺ
874	ㇻ
875	ㇼ
876	ㇽ
877	ㇾ
878	ㇿ
879	㊗
880	㊙
881	㍱
882	㎀
883	㎁
884	㎂
885	㎃
886	㎄
887	㎅
888	㎆
889	㎇
890	㎈
891	㎉
892	㎊
893	㎋
894	㎌
895	㎍
896	㎎
897	㎏
898	㎐
899	㎑
900	㎒
901	㎓
902	㎔
903	㎕
904	㎖
905	㎗
906	㎘
907	㎙
908	㎚
909	㎛
910	㎜
911	㎝
912	㎞
913	㎡
914	㎢
915	㎣
916	㎤
917	㎥
918	㎦
919	㎧
920	㎨
921	㎩
922	㎪
923	㎫
924	㎬
925	㎭
926	㎮
927	㎯
928	㎰
929	㎱
930	㎲
931	㎳
932	㎴
933	㎵
934	㎶
935	㎷
936	㎸
937	㎹
938	㎺
939	㎻
940	㎼
941	㎽
942	㎾
943	㎿
944	㏀
945	㏁
946	㏃
947	㏄
948	㏅
949	㏆
950	㏈
951	㏉
952	㏊
953	㏋
954	㏌
955	㏏
956	㏐
957	㏒
958	㏓
959	㏔
960	㏕
961	㏖
962	㏗
963	㏛
964	㏜
965	㏝
966	㐂
967	㓛
968	㔟
969	㚖
970	㝢
971	㟢
972	㥲
973	㭿
974	㮈
975	㮶
976	㯮
977	㹨
978	䅣
979	䐗
980	䡄
981	䱤
982	一
983	丁
984	七
985	丄
986	万
987	丈
988	三
989	上
990	下
991	不
992	与
993	丐
994	丑
995	且
996	丕
997	世
998	丗
999	丘
1000	丙
1001	业
1002	东
1003	丞
1004	両
1005	並
1006	个
1007	丫
1008	中
1009	丰
1010	丱
1011	串
1012	丶
1013	丸
1014	丹
1015	为
1016	主
1017	丼
1018	丽
1019	丿
1020	乂
1021	乃
1022	乄
1023	久
1024	么
1025	之
1026	乍
1027	乎
1028	乏
1029	乐
1030	乕
1031	乖
1032	乗
1033	乘
1034	乙
1035	九
1036	乞
1037	也
1038	乢
1039	乩
1040	乱
1041	乳
1042	乾
1043	亀
1044	亂
1045	亅
1046	了
1047	予
1048	争
1049	亊
1050	事
1051	二
1052	于
1053	云
1054	互
1055	五
1056	井
1057	亘
1058	亙
1059	些
1060	亜
1061	亞
1062	亟
1063	亠
1064	亡
1065	亢
1066	交
1067	亥
1068	亦
1069	亨
1070	享
1071	京
1072	亭
1073	亮
1074	亰
1075	亳
1076	亶
1077	亹
1078	人
1079	亻
1080	什
1081	仁
1082	仂
1083	仄
1084	仆
1085	仇
1086	今
1087	介
1088	仍
1089	从
1090	仏
1091	仔
1092	仕
1093	他
1094	仗
1095	付
1096	仙
1097	仝
1098	仞
1099	仟
1100	代
1101	令
1102	以
1103	仭
1104	仮
1105	仰
1106	仲
1107	仵
1108	件
1109	价
1110	任
1111	份
1112	仿
1113	企
1114	伃
1115	伉
1116	伊
1117	伋
1118	伍
1119	伎
1120	伏
1121	伐
1122	休
1123	会
1124	伜
1125	伝
1126	伦
1127	伯
1128	估
1129	伴
1130	伶
1131	伷
1132	伸
1133	伹
1134	伺
1135	似
1136	伽
1137	伾
1138	佃
1139	但
1140	佇
1141	佋
1142	位
1143	低
1144	住
1145	佐
1146	佑
1147	体
1148	何
1149	佖
1150	佗
1151	佘
1152	余
1153	佚
1154	佛
1155	作
1156	佝
1157	佞
1158	佟
1159	你
1160	佤
1161	佩
1162	佯
1163	佰
1164	佳
1165	併
1166	佶
1167	佺
1168	佻
1169	佼
1170	佽
1171	佾
1172	使
1173	侁
1174	侂
1175	侃
1176	來
1177	侈
1178	侊
1179	例
1180	侍
1181	侏
1182	侑
1183	侒
1184	侔
1185	侖
1186	侗
1187	侘
1188	侚
1189	供
1190	依
1191	侠
1192	価
1193	侫
1194	侭
1195	侮
1196	侯
1197	侵
1198	侶
1199	便
1200	俁
1201	係
1202	促
1203	俄
1204	俅
1205	俉
1206	俊
1207	俋
1208	俎
1209	俏
1210	俐
1211	俑
1212	俒
1213	俔
1214	俗
1215	俘
1216	俚
1217	俛
1218	保
1219	俟
1220	俠
1221	信
1222	俣
1223	俤
1224	俥
1225	修
1226	俯
1227	俱
1228	俳
1229	俵
1230	俶
1231	俸
1232	俺
1233	俾
1234	倂
1235	倅
1236	倆
1237	倉
1238	個
1239	倍
1240	倏
1241	們
1242	倒
1243	倓
1244	倔
1245	倖
1246	候
1247	倚
1248	倜
1249	倞
1250	借
1251	倡
1252	倢
1253	倣
1254	値
1255	倥
1256	倦
1257	倧
1258	倨
1259	倩
1260	倪
1261	倫
1262	倬
1263	倭
1264	倶
1265	倹
1266	倻
1267	偀
1268	偁
1269	偃
1270	偆
1271	假
1272	偈
1273	偉
1274	偏
1275	偐
1276	偓
1277	偕
1278	偖
1279	做
1280	停
1281	健
1282	偦
1283	偬
1284	偰
1285	偲
1286	側
1287	偵
1288	偶
1289	偸
1290	偽
1291	傀
1292	傅
1293	傊
1294	傍
1295	傑
1296	傒
1297	傓
1298	傔
1299	傕
1300	傖
1301	傘
1302	備
1303	傚
1304	傪
1305	催
1306	傭
1307	傲
1308	傳
1309	傴
1310	債
1311	傷
1312	傻
1313	傾
1314	僂
1315	僅
1316	僉
1317	僊
1318	働
1319	像
1320	僐
1321	僑
1322	僔
1323	僕
1324	僖
1325	僘
1326	僙
1327	僚
1328	僞
1329	僡
1330	僣
1331	僥
1332	僦
1333	僧
1334	僩
1335	僭
1336	僮
1337	僰
1338	僲
1339	僴
1340	僵
1341	價
1342	僻
1343	僾
1344	儀
1345	儁
1346	儂
1347	億
1348	儇
1349	儈
1350	儉
1351	儋
1352	儒
1353	儔
1354	儕
1355	儖
1356	儘
1357	儚
1358	儛
1359	儞
1360	償
1361	儡
1362	優
1363	儲
1364	儷
1365	儺
1366	儻
1367	儼
1368	儿
1369	兀
1370	允
1371	元
1372	兄
1373	充
1374	兆
1375	兇
1376	先
1377	光
1378	兊
1379	克
1380	兌
1381	免
1382	兎
1383	児
1384	兒
1385	兔
1386	兕
1387	兗
1388	党
1389	兜
1390	兢
1391	入
1392	內
1393	全
1394	兩
1395	兪
1396	八
1397	公
1398	六
1399	兮
1400	共
1401	兵
1402	其
1403	具
1404	典
1405	兼
1406	冀
1407	冂
1408	冄
1409	内
1410	円
1411	冉
1412	冊
1413	册
1414	再
1415	冏
1416	冐
1417	冑
1418	冒
1419	冓
1420	冕
1421	冖
1422	冗
1423	写
1424	冝
1425	冠
1426	冢
1427	冤
1428	冥
1429	冦
1430	冨
1431	冩
1432	冪
1433	冫
1434	冬
1435	冰
1436	冱
1437	冲
1438	决
1439	冴
1440	况
1441	冶
1442	冷
1443	冻
1444	冼
1445	冽
1446	凄
1447	凅
1448	准
1449	凉
1450	凋
1451	凌
1452	凍
1453	凖
1454	凛
1455	凜
1456	凝
1457	凞
1458	几
1459	凡
1460	処
1461	凧
1462	凩
1463	凪
1464	凭
1465	凮
1466	凯
1467	凰
1468	凱
1469	凵
1470	凶
1471	凸
1472	凹
1473	出
1474	函
1475	凾
1476	刀
1477	刁
1478	刃
1479	刄
1480	分
1481	切
1482	刈
1483	刊
1484	刋
1485	刎
1486	刑
1487	刔
1488	刕
1489	列
1490	初
1491	判
1492	別
1493	刧
1494	利
1495	刪
1496	刮
1497	到
1498	刳
1499	制
1500	刷
1501	券
1502	刹
1503	刺
1504	刻
1505	剃
1506	剄
1507	則
1508	削
1509	剋
1510	剌
1511	前
1512	剏
1513	剔
